Id,Predicted
0,4
1,0
2,4
3,1
4,2
5,3
6,5
7,1
8,4
9,4
10,2
11,2
12,4
13,1
14,2
15,4
16,5
17,4
18,1
19,2
20,2
21,6
22,2
23,6
24,2
25,1
26,2
27,0
28,0
29,2
30,1
31,6
32,0
33,0
34,6
35,3
36,0
37,4
38,3
39,5
40,2
41,3
42,5
43,3
44,5
45,1
46,2
47,6
48,1
49,2
50,5
51,1
52,6
53,0
54,6
55,0
56,6
57,3
58,6
59,3
60,5
61,5
62,6
63,6
64,4
65,1
66,2
67,4
68,2
69,1
70,3
71,6
72,1
73,4
74,2
75,2
76,3
77,2
78,5
79,4
80,3
81,1
82,2
83,1
84,0
85,1
86,4
87,1
88,3
89,0
90,3
91,2
92,2
93,5
94,5
95,5
96,2
97,5
98,4
99,5
100,2
101,2
102,0
103,1
104,5
105,1
106,2
107,0
108,5
109,4
110,2
111,4
112,1
113,1
114,2
115,4
116,0
117,6
118,0
119,1
120,2
121,1
122,2
123,5
124,0
125,2
126,0
127,6
128,2
129,0
130,3
131,5
132,5
133,1
134,2
135,1
136,5
137,0
138,4
139,5
140,2
141,1
142,1
143,2
144,0
145,4
146,5
147,1
148,4
149,0
150,2
151,2
152,0
153,5
154,2
155,1
156,6
157,4
158,5
159,5
160,5
161,1
162,4
163,4
164,5
165,2
166,1
167,3
168,4
169,2
170,5
171,1
172,1
173,4
174,1
175,2
176,2
177,0
178,2
179,4
180,5
181,4
182,2
183,6
184,1
185,6
186,3
187,5
188,1
189,2
190,6
191,2
192,0
193,5
194,1
195,2
196,4
197,4
198,0
199,4
200,2
201,0
202,5
203,2
204,3
205,0
206,0
207,3
208,4
209,2
210,2
211,5
212,4
213,5
214,2
215,2
216,3
217,0
218,6
219,4
220,0
221,0
222,3
223,5
224,0
225,5
226,4
227,2
228,0
229,4
230,6
231,1
232,2
233,6
234,4
235,2
236,3
237,4
238,4
239,2
240,6
241,2
242,3
243,2
244,2
245,5
246,4
247,1
248,0
249,0
250,2
251,4
252,6
253,3
254,2
255,6
256,1
257,0
258,5
259,4
260,1
261,0
262,1
263,1
264,2
265,2
266,5
267,1
268,3
269,4
