Id,Predicted
0,5
1,6
2,1
3,3
4,6
5,6
6,3
7,1
8,6
9,1
10,2
11,6
12,1
13,4
14,2
15,4
16,3
17,0
18,3
19,4
20,2
21,0
22,2
23,6
24,1
25,4
26,2
27,1
28,1
29,2
30,5
31,5
32,5
33,5
34,5
35,6
36,5
37,1
38,6
39,3
40,2
41,6
42,2
43,1
44,3
45,1
46,2
47,2
48,4
49,2
50,3
51,5
52,0
53,5
54,5
55,1
56,1
57,3
58,0
59,6
60,3
61,3
62,5
63,5
64,5
65,4
66,6
67,6
68,2
69,4
70,5
71,0
72,3
73,4
74,2
75,2
76,1
77,2
78,2
79,1
80,1
81,4
82,4
83,4
84,5
85,4
86,1
87,4
88,6
89,5
90,0
91,4
92,2
93,3
94,2
95,3
96,2
97,3
98,1
99,3
100,4
101,0
102,6
103,1
104,3
105,5
106,6
107,2
108,3
109,0
110,2
111,6
112,2
113,6
114,2
115,6
116,0
117,6
118,0
119,4
120,1
121,2
122,2
123,3
124,5
125,4
126,0
127,1
128,2
129,0
130,6
131,3
132,6
133,4
134,5
135,0
136,3
137,5
138,6
139,3
140,0
141,2
142,3
143,1
144,6
145,5
146,3
147,2
148,1
149,0
150,2
151,2
152,5
153,2
154,4
155,4
156,0
157,4
158,3
159,3
160,3
161,6
162,1
163,6
164,4
165,4
166,4
167,1
168,0
169,2
170,3
171,5
172,4
173,0
174,4
175,2
176,2
177,1
178,4
179,1
180,2
181,6
182,2
183,0
184,4
185,0
186,6
187,2
188,2
189,2
190,5
191,2
192,5
193,4
194,2
195,0
196,1
197,1
198,0
199,1
200,4
201,5
202,3
203,2
204,6
205,0
206,5
207,6
208,4
209,6
210,2
211,4
212,4
213,3
214,2
215,1
216,1
217,0
218,0
219,0
220,1
221,0
222,1
223,3
224,0
225,3
226,1
227,2
228,0
229,1
230,0
231,2
232,4
233,0
234,1
235,2
236,0
237,1
238,6
239,2
240,0
241,2
242,5
243,2
244,2
245,3
246,1
247,4
248,0
249,5
250,6
251,1
252,5
253,6
254,4
255,0
256,4
257,5
258,6
259,1
260,2
261,0
262,5
263,0
264,4
265,4
266,3
267,3
268,5
269,1
270,2
271,2
272,0
273,3
274,0
275,3
276,1
277,3
278,2
279,6
280,6
281,5
282,0
283,6
284,4
285,0
286,3
287,4
288,1
289,0
290,0
291,5
292,2
293,3
294,1
295,1
296,1
297,0
298,6
299,4
300,5
301,6
302,1
303,6
304,5
305,1
306,5
307,6
308,0
309,5
310,2
311,4
312,6
313,2
314,5
315,2
316,6
317,3
318,1
319,4
320,2
321,0
322,5
323,4
324,2
325,2
326,0
327,2
328,0
329,0
330,6
331,1
332,2
333,4
334,1
335,1
336,0
337,4
338,4
339,5
340,2
341,4
342,5
343,1
344,6
345,5
346,0
347,0
348,0
349,4
350,4
351,5
352,5
353,4
354,5
355,4
356,1
357,0
358,5
359,6
360,1
361,5
362,0
363,4
364,2
365,3
366,3
367,4
368,1
369,0
370,6
371,1
372,2
373,1
